rating,rating_count,cost,name_encoded
4.2,20,299,64761
3.9,10,200,14944
3.9,10,200,70348
3.9,10,100,71349
3.9,10,800,104888
3.9,10,350,105748
3.9,10,450,38032
3.9,10,100,110166
3.9,10,200,18061
3.9,10,300,55633
3.3,50,200,62862
4.0,100,200,81227
3.9,10,299,108867
4.2,100,599,47867
3.9,10,300,94307
3.9,10,200,45183
3.9,10,100,66175
3.9,10,250,54519
3.8,20,150,35237
3.9,10,100,8543
3.2,20,199,94916
3.9,10,400,7029
3.9,10,200,100605
3.9,10,200,58802
3.9,10,200,420
3.9,10,200,79259
4.2,100,150,10238
3.9,10,200,13565
3.9,10,200,39989
3.9,10,100,29331
3.9,10,200,33978
3.9,10,150,51144
3.9,10,200,102782
3.9,10,200,13406
4.6,50,200,106114
3.9,500,350,34233
3.0,20,200,101122
3.9,10,200,103430
3.9,10,300,17031
3.9,10,200,99579
3.9,10,150,23646
3.9,10,199,6204
4.5,100,199,28751
4.2,1000,399,42246
3.6,20,100,8769
4.1,100,199,58407
3.5,20,200,70727
4.2,50,199,67078
3.8,50,400,108001
3.9,10,299,101172
3.9,10,200,2374
3.8,20,200,48225
3.1,20,150,25876
3.9,10,200,54493
4.5,20,399,99732
3.8,20,150,50570
4.6,50,100,71348
3.9,10,299,6301
3.9,10,200,103293
3.9,10,150,8630
3.9,10,150,67997
3.9,10,100,10058
3.9,100,300,73373
3.9,10,399,761
3.9,10,300,105137
3.9,10,200,51117
3.6,20,200,101582
4.4,20,150,6118
3.9,10,300,16846
3.9,10,350,110764
3.9,20,250,787
3.5,20,200,70358
4.1,20,200,100004
3.9,10,100,31290
4.1,100,100,68780
3.9,20,200,61454
3.9,10,200,11025
3.9,10,100,61460
3.9,10,200,80175
3.9,10,149,85606
3.9,10,300,11060
3.9,10,100,53639
3.9,10,399,37108
4.2,50,299,62379
3.9,10,200,56303
3.9,10,120,62920
4.1,50,150,6760
3.9,10,150,24491
3.9,10,200,34846
4.4,100,150,89544
4.1,100,399,49210
4.0,20,290,36907
4.2,100,300,99220
3.9,10,400,110048
4.0,1000,400,75777
3.9,10,300,39204
3.9,10,100,71346
3.9,100,200,20670
4.0,100,200,102813
3.9,20,200,80436
3.9,10,300,40886
3.9,10,200,79110
3.9,10,100,74933
3.9,20,200,82260
3.9,10,400,99102
3.9,20,400,81761
4.0,50,599,105753
3.9,10,200,45684
3.9,10,200,69808
3.9,10,400,11485
3.9,10,150,71531
3.9,10,150,92134
3.9,10,200,25553
3.9,10,150,86236
3.8,20,100,36349
3.9,10,200,96539
3.9,10,150,102974
3.9,20,199,32820
4.0,50,200,65186
4.0,100,300,100224
3.5,20,200,27044
3.9,10,100,11187
3.9,10,250,108083
3.9,10,200,108200
4.0,20,300,38699
4.3,100,200,44390
3.6,50,50,75630
3.9,10,100,9746
3.6,20,200,51197
3.9,10,200,26642
3.9,10,200,104928
3.9,10,200,95427
3.9,10,200,30443
3.9,10,200,72601
3.9,20,200,8755
3.9,10,250,105656
3.9,10,300,15222
4.4,100,150,31354
3.9,10,200,57720
4.2,50,150,5368
3.9,10,200,95402
3.9,10,200,70763
3.9,10,100,71347
3.9,10,300,31139
3.9,10,200,13698
3.9,10,250,51052
3.9,10,100,25460
4.4,100,299,6600
3.9,50,250,99023
3.9,10,149,31018
3.9,10,200,91764
3.9,10,100,12072
3.9,10,200,36910
3.9,10,200,2410
3.8,50,200,49514
3.8,50,150,54658
4.1,100,250,26929
3.8,50,250,80935
3.5,50,150,88087
4.0,100,150,7533
4.4,100,199,73708
3.6,100,299,33882
3.3,50,150,20376
3.6,100,250,26930
3.5,10,199,22462
3.5,100,150,61972
3.5,10,200,77778
2.7,20,199,77124
3.5,10,199,91758
3.4,50,199,36142
3.9,20,200,91757
3.5,100,250,83640
3.5,10,200,103773
3.5,10,120,27318
3.5,10,250,55840
3.0,20,200,58554
3.3,50,250,53279
3.6,20,250,69680
3.3,100,250,13771
3.5,10,250,111235
3.5,10,250,110374
2.8,50,250,60772
2.8,20,250,65934
3.5,10,250,7084
3.5,10,250,51956
3.4,20,150,42568
3.5,10,199,97329
3.5,10,100,83068
3.5,10,199,98422
3.5,10,199,32328
3.9,20,250,54674
3.7,10,150,37313
4.3,1000,300,26706
4.0,1000,450,49116
3.7,10,200,97903
3.9,1000,300,88266
4.1,1000,200,88267
3.7,10,250,36613
4.2,500,175,26707
4.1,500,175,27790
4.0,500,250,55165
4.0,1000,300,94091
4.0,500,100,36491
3.9,100,250,63021
3.9,500,200,104781
3.9,100,300,105231
3.9,500,175,27242
4.0,500,175,89931
3.7,100,150,64935
3.9,100,300,40813
3.7,100,250,47
3.9,100,300,77570
3.7,100,150,22914
3.7,100,100,56814
3.6,100,250,66849
4.0,100,450,3971
3.5,100,250,33776
3.6,100,125,63911
3.7,500,450,29888
4.2,100,8,19585
4.4,100,150,88269
3.6,100,200,7335
3.2,100,300,38946
3.1,100,200,56988
3.4,20,150,45032
3.7,500,250,44309
4.1,50,150,21128
3.5,100,200,104251
3.5,50,150,68672
3.3,100,150,27241
3.8,100,200,62820
3.5,100,200,71162
3.6,100,125,94060
4.0,100,375,80779
3.7,10,275,43758
3.4,500,200,90708
4.2,100,275,94406
4.5,50,150,88268
3.7,10,350,49284
4.3,500,200,109085
3.4,100,300,39987
3.5,50,200,94539
4.1,100,175,102645
3.8,20,1000,43099
4.1,100,150,11852
3.2,20,275,74079
3.8,100,200,55420
3.7,10,200,41512
3.7,50,200,64266
4.0,20,300,14280
3.5,100,300,100527
3.9,100,100,33651
4.4,50,150,57116
3.7,20,200,5470
3.7,10,300,12339
4.2,50,150,94385
3.9,100,300,18497
3.7,50,425,53373
4.0,500,250,101275
3.9,20,300,25158
3.1,100,150,11644
3.9,50,350,44912
3.5,100,200,79481
3.7,10,225,43835
2.9,50,200,75213
4.0,100,100,10560
3.6,100,200,44310
3.4,20,250,64077
2.9,50,100,56322
4.1,20,150,27803
3.7,10,200,104245
3.7,10,300,90882
3.6,20,300,11185
3.3,20,200,76428
3.7,10,250,6303
3.7,10,100,90677
3.4,50,150,79480
3.5,50,500,37132
3.7,10,300,12110
4.0,1000,275,91444
3.7,10,150,46624
3.9,20,150,731
3.3,50,400,4137
3.4,20,120,27804
3.7,10,150,31008
3.7,100,250,110490
4.0,100,200,51199
4.0,100,325,17692
3.7,10,150,22912
3.7,10,250,74475
3.5,100,300,96465
4.5,20,100,77743
3.6,20,150,44311
3.6,50,150,40918
4.0,100,200,11069
4.4,100,425,28586
2.4,50,200,26804
3.6,50,200,16944
3.3,50,350,7974
3.7,10,150,2922
4.1,50,200,51820
2.9,20,150,74476
4.0,100,125,58662
4.0,20,300,32990
3.4,100,300,9912
3.7,10,100,20523
3.8,20,150,82980
3.7,10,200,62197
3.7,10,150,34487
3.7,10,100,30303
3.7,10,99,26348
4.5,20,175,79619
3.7,10,200,39360
3.8,100,200,104916
3.7,10,250,23692
2.7,50,300,43679
3.7,10,300,62821
4.2,50,150,32761
4.2,100,150,88270
3.7,10,150,2842
3.7,10,250,68864
3.7,20,150,90766
3.6,500,300,26642
3.7,10,75,62333
2.3,20,200,36945
4.0,20,150,78019
3.7,10,100,75905
4.3,100,600,31576
4.3,20,200,2576
3.9,50,160,98473
3.9,50,450,38277
3.6,50,600,42935
4.4,20,180,100687
3.7,20,200,67524
3.7,10,150,39482
3.1,50,125,62970
3.2,20,200,104264
3.7,10,550,58004
3.7,10,220,49958
3.7,10,150,57794
3.9,20,250,35906
3.7,10,400,84233
3.5,100,200,58588
3.5,20,275,79584
3.7,100,150,40395
3.8,100,150,3736
3.7,10,150,34670
3.1,20,100,76399
3.7,10,300,108091
3.8,50,200,4555
3.7,10,200,21357
4.0,20,150,69011
3.6,100,225,68072
3.3,20,200,14531
3.7,10,200,36828
4.0,100,200,80065
3.9,1000,250,12376
3.8,1000,200,60008
3.9,20,250,69396
3.9,1000,250,12375
3.4,100,300,26872
3.7,10,400,72101
4.0,100,200,12377
3.7,10,100,89756
3.7,10,200,27559
4.0,500,300,54237
4.0,100,400,101782
3.2,100,600,54320
4.0,500,300,67425
3.7,10,300,31790
4.1,100,200,34582
3.7,10,200,37955
3.9,100,200,75701
3.7,10,200,50563
3.5,500,200,22197
3.5,50,400,27817
3.7,10,300,88089
4.3,100,200,34583
3.7,10,200,111704
3.7,10,300,22464
3.7,10,300,47745
3.5,20,200,30950
3.9,20,300,13351
3.7,10,500,111440
3.7,10,200,63593
3.5,100,400,87656
3.7,10,50,106491
3.7,100,100,22198
3.9,1000,400,61215
3.7,10,200,89712
3.2,1000,150,19352
3.7,50,300,73725
3.7,20,100,60743
3.7,500,200,35771
3.5,20,150,4377
3.7,10,200,50725
3.7,10,300,78588
3.7,10,300,30978
3.7,10,300,86500
3.7,20,200,4289
3.3,50,200,34797
4.5,50,200,71901
3.7,10,200,21193
3.5,100,100,112117
3.8,100,500,19512
3.9,20,200,85230
3.7,10,250,96475
3.7,10,300,54472
4.0,100,300,101008
4.4,20,300,18497
3.7,10,300,55799
3.7,10,20,111215
3.7,10,150,12402
3.7,10,300,110755
3.7,10,150,88330
3.6,1000,200,12689
3.7,10,300,96629
3.7,10,100,13094
3.9,100,200,8070
4.4,50,400,28586
4.0,20,400,12227
3.7,10,100,1564
4.0,500,400,3587
4.2,50,200,99265
4.3,20,180,26994
3.6,20,200,84205
3.7,100,200,37590
4.2,50,200,90388
3.7,10,100,11364
3.9,500,300,77864
3.8,100,200,89442
3.7,10,400,19942
3.7,10,100,47159
4.2,20,400,60460
3.7,10,60,15351
3.6,100,200,109585
3.7,10,500,54492
3.2,20,200,6103
4.2,50,200,78775
3.8,50,400,89818
3.7,10,250,49183
3.7,10,250,39404
3.7,10,250,84583
3.7,10,250,39403
3.6,100,300,47129
4.0,20,400,7667
3.7,10,300,86377
3.7,10,160,77025
3.7,10,300,67979
3.7,10,400,105846
4.1,100,700,13439
4.3,100,100,14978
3.2,20,200,67355
3.4,50,200,109584
4.1,50,400,22970
3.7,10,200,15165
3.7,10,500,89477
4.0,50,200,20616
3.7,10,50,33749
3.7,10,200,98470
3.7,10,200,108890
3.7,20,200,75292
3.7,10,300,55023
5.0,20,300,71613
3.7,10,600,58878
3.7,10,400,20794
3.7,10,1000,25346
3.7,10,300,60798
3.7,10,100,50600
3.7,10,300,73624
3.8,50,300,57603
3.7,10,400,55445
3.8,50,300,104439
4.4,20,200,52107
3.7,10,250,96474
3.7,10,150,94297
3.7,10,300,60646
3.5,20,200,5919
3.7,10,500,60643
3.7,10,300,61416
3.7,10,800,18639
3.7,10,300,97596
3.7,10,200,95463
3.7,10,200,85679
3.7,10,100,48629
3.9,20,200,28773
4.4,100,120,65449
3.7,10,200,101918
3.9,100,300,5888
3.7,100,300,108600
3.7,10,300,109305
3.9,20,300,7907
4.2,50,200,35867
3.7,10,399,49221
3.7,10,200,25125
3.7,10,200,37442
3.0,100,300,30356
3.5,50,600,11625
3.7,10,300,48391
3.7,100,300,105161
4.1,50,500,52194
3.6,20,250,99329
3.7,10,200,12801
3.7,10,300,98460
3.4,100,300,34008
4.0,500,400,13153
3.7,10,200,81986
4.4,50,120,36719
3.7,10,300,496
3.7,10,200,103823
3.4,100,200,86345
4.0,50,200,27818
3.7,10,200,11139
3.7,10,200,11632
3.7,10,200,75949
3.7,10,200,48383
3.7,10,200,108668
3.7,10,100,69418
3.7,10,200,28476
3.7,10,200,62897
3.7,10,200,56715
3.7,10,200,59609
3.7,10,200,59610
3.7,10,200,105494
4.2,100,250,15449
